REGION,PROV_CODE,PROV_NAME,DIST_CODE,DIST_NAME,INC_DATE,INC_TYPE,Persons_killed,Persons_injured,Families_affected,Individuals_affected2,Houses_damaged,Houses_destroyed
#adm1 +name +en,#adm2 +code,#adm2 +name +en,#adm3 +code,#adm3 +name +en,#cause +date,#cause +type,#affected +killed +num,#affected +injured +num,#affected +families +num,#affected +individuals +num,#damaged+houses+num,#destroyed+houses+num
South Eastern,12,Paktya,1204,Zurmat,25-07-22,Flood / flash flood,0,0,51,480,0,0
Central Highland,10,Bamyan,1007,Waras,25-07-22,Flood / flash flood,0,0,200,1400,125,0
Central Highland,10,Bamyan,1004,Panjab,25-07-22,Flood / flash flood,0,0,40,280,0,3
Central Highland,10,Bamyan,1007,Waras,25-07-22,Flood / flash flood,0,0,42,294,0,2
South Eastern,12,Paktya,1202,Sayedkaram,25-07-22,Flood / flash flood,0,0,19,147,18,0
Western,31,Farah,3109,Gulestan,25-07-22,Flood / flash flood,2,0,214,1482,113,101
Capital,5,Logar,501,Pul-e-Alam,25-07-22,Flood / flash flood,0,0,6,24,4,2
South Eastern,12,Paktya,1204,Zurmat,25-07-22,Flood / flash flood,0,0,7,48,7,0
Western,30,Hirat,3010,Adraskan,26-07-22,Flood / flash flood,2,0,45,283,8,37
Central Highland,22,Daykundi,2203,Khadir,26-07-22,Flood / flash flood,0,0,144,1008,0,0
Western,30,Hirat,3011,Farsi,26-07-22,Flood / flash flood,0,0,33,231,12,21
Southern,24,Zabul,2401,Qalat,27-07-22,Flood / flash flood,0,0,43,362,42,1
Southern,23,Uruzgan,2303,Shahid-e-Hassas,27-07-22,Flood / flash flood,0,0,3,18,2,0
Southern,23,Uruzgan,2301,Tirinkot,27-07-22,Flood / flash flood,0,0,11,105,11,0
Southern,33,Kandahar,3301,Kandahar,27-07-22,Flood / flash flood,2,1,48,357,47,1
Southern,33,Kandahar,3308,Maywand,27-07-22,Flood / flash flood,0,0,19,137,19,0
Southern,33,Kandahar,3304,Panjwayi,27-07-22,Flood / flash flood,0,0,7,45,7,0
Southern,33,Kandahar,3303,Zheray,27-07-22,Flood / flash flood,6,2,10,78,9,1
Central Highland,22,Daykundi,2201,Nili,27-07-22,Flood / flash flood,0,0,80,560,0,0
Southern,23,Uruzgan,2305,Khasuruzgan,27-07-22,Flood / flash flood,0,0,68,605,68,0
Southern,24,Zabul,2402,Arghandab,27-07-22,Flood / flash flood,0,0,251,2379,236,15
Southern,24,Zabul,2403,Mizan,27-07-22,Flood / flash flood,1,0,64,468,49,15
